t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1685319750,4,1898,953.500000,9,1027.447484,953.500000,1869.750000,1898.000000,1898.000000,1898.000000,1898.000000
1685319780,37,2083,318.351351,2,607.368926,12.000000,385.000000,1916.500000,2083.000000,2083.000000,2083.000000
1685319810,50,2083,238.140000,2,538.276540,9.500000,65.000000,1888.650000,2079.300000,2083.000000,2083.000000
1685319840,76,2083,160.078947,2,448.567610,8.000000,35.000000,1799.400000,1983.100000,2083.000000,2083.000000
1685319870,89,2083,144.393258,1,416.376704,8.000000,41.500000,1346.500000,1935.000000,2083.000000,2083.000000
1685319900,115,2083,115.347826,1,369.891379,8.000000,39.000000,907.200000,1892.560000,2053.400000,2083.000000
1685319930,133,2083,100.879699,1,345.718138,7.000000,34.500000,566.100000,1886.440000,2020.100000,2083.000000
1685320110,41,2398,536.439024,4,767.881210,114.000000,712.500000,2316.500000,2398.000000,2398.000000,2398.000000
1685320140,93,2398,243.430108,2,570.111610,7.000000,82.000000,2158.000000,2329.360000,2398.000000,2398.000000
1685320170,119,2398,195.941176,1,511.639974,7.000000,52.000000,2012.000000,2306.000000,2382.400000,2398.000000
1685320200,171,2398,139.602339,1,434.826503,6.000000,39.000000,913.600000,2241.440000,2341.840000,2398.000000
1685320230,197,2398,122.131980,1,407.460719,6.000000,30.000000,878.000000,2189.960000,2321.560000,2398.000000
1685320260,275,2398,89.887273,1,348.482139,4.000000,18.000000,530.600000,2076.320000,2293.400000,2398.000000
1685320290,301,2398,82.647841,1,333.881819,4.000000,13.000000,486.100000,1970.200000,2283.020000,2398.000000
1685320320,353,2398,71.407932,1,309.446240,4.000000,11.500000,467.000000,967.000000,2231.540000,2398.000000
1685320350,379,2398,66.981530,1,299.071672,4.000000,10.000000,211.000000,967.000000,2205.800000,2398.000000
1685320380,431,2398,59.672854,1,281.120072,4.000000,9.000000,114.800000,910.040000,2173.200000,2398.000000
1685320410,457,2398,56.540481,1,273.291453,4.000000,9.000000,109.500000,878.000000,2162.800000,2398.000000
1685320440,535,2398,48.951402,0,253.224829,3.000000,8.000000,82.800000,639.680000,2097.760000,2398.000000
1685320470,561,2398,46.818182,0,247.468178,3.000000,8.000000,68.100000,546.760000,2062.920000,2398.000000
1685320500,613,2398,43.171289,0,237.029917,3.000000,7.000000,54.300000,545.720000,1865.700000,2398.000000
1685320530,639,2398,41.582160,0,232.281270,3.000000,7.000000,53.000000,545.200000,1594.000000,2398.000000
1685320560,691,2398,38.890014,0,223.569720,3.000000,7.000000,49.400000,529.880000,1050.600000,2398.000000
1685320590,743,2398,36.421265,0,215.786030,3.000000,7.000000,48.600000,492.680000,967.000000,2398.000000
1685320620,795,2398,34.329560,0,208.756857,3.000000,7.000000,45.000000,470.520000,967.000000,2398.000000
1685320650,821,2398,33.336175,0,205.495568,3.000000,6.500000,44.900000,468.120000,947.420000,2398.000000
1685320680,873,2398,31.648339,0,199.395437,3.000000,6.000000,41.900000,467.000000,901.140000,2398.000000
1685320710,899,2398,30.830923,0,196.546594,3.000000,6.000000,41.000000,467.000000,878.000000,2398.000000
1685320740,951,2398,29.329127,0,191.197110,3.000000,6.000000,41.000000,211.000000,878.000000,2398.000000
1685320770,977,2398,28.635619,0,188.681779,3.000000,6.000000,40.100000,211.000000,878.000000,2398.000000
1685320800,1029,2398,27.375486,0,184.023550,2.500000,6.000000,39.550000,155.900000,782.010000,2395.738000
1685320830,1055,2398,27.359922,0,184.026005,2.000000,6.000000,39.550000,155.900000,782.010000,2395.738000
1685320860,1107,2398,26.689689,0,183.505357,2.000000,6.000000,38.100000,114.840000,782.010000,2395.738000
1685320890,1133,2398,26.626459,0,183.508988,2.000000,6.000000,38.100000,114.840000,782.010000,2395.738000
1685320920,1185,2398,25.702335,0,181.578379,2.000000,6.000000,34.550000,111.100000,546.710000,2395.738000
1685320950,1237,2398,25.525292,0,181.585258,2.000000,5.000000,32.100000,111.100000,546.710000,2395.738000
1685320980,1315,2398,25.490272,0,181.586771,2.000000,5.000000,31.000000,111.100000,546.710000,2395.738000
1685321010,1367,2398,25.357004,0,181.596356,2.000000,5.000000,30.550000,111.100000,546.710000,2395.738000
1685321040,1445,2398,24.717899,0,180.873468,2.000000,5.000000,30.000000,105.520000,546.710000,2395.738000
1685321070,1471,2398,24.706226,0,180.874338,2.000000,5.000000,30.000000,105.520000,546.710000,2395.738000
1685321100,1523,2398,23.699416,0,178.470806,2.000000,5.000000,27.000000,95.460000,540.490000,2395.738000
1685321130,1554,2398,23.200389,0,177.882418,2.000000,5.000000,26.000000,84.780000,540.490000,2395.738000
1685330370,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330400,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330430,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330460,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330490,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330520,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330550,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330580,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330610,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330640,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330670,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330700,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330730,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330760,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330790,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330820,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330850,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330880,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330910,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330940,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685330970,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331000,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331030,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331060,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331090,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331120,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331150,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331180,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331210,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331240,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331270,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331301,4,2105,913.250000,9,1033.670604,769.500000,1941.250000,2105.000000,2105.000000,2105.000000,2105.000000
1685331331,35,2105,309.628571,2,578.132800,22.000000,391.000000,1890.600000,2105.000000,2105.000000,2105.000000
1685331361,50,2105,219.780000,2,501.189821,10.000000,67.250000,1775.400000,2099.640000,2105.000000,2105.000000
1685331391,74,2105,152.770270,1,422.117349,8.000000,37.500000,1518.750000,1971.000000,2105.000000,2105.000000
1685331421,89,2105,130.955056,1,387.761698,8.000000,35.500000,1107.000000,1890.600000,2105.000000,2105.000000
1685331451,113,2105,107.831858,1,346.896133,8.000000,37.000000,764.000000,1805.640000,2067.480000,2105.000000
1685331481,128,2105,96.023438,1,327.401616,7.000000,34.000000,604.250000,1772.040000,2027.280000,2105.000000
1685331511,152,2105,82.947368,1,301.854748,7.000000,30.000000,397.300000,1708.500000,1962.960000,2105.000000
1685331541,167,2105,76.047904,1,288.745434,6.000000,29.000000,391.000000,1626.000000,1922.760000,2105.000000
1685331571,191,2105,67.450262,1,270.872987,6.000000,19.000000,389.800000,1494.000000,1858.440000,2105.000000
1685331601,206,2105,63.155340,1,261.240484,6.000000,17.250000,308.500000,1353.960000,1829.160000,2105.000000
1685331631,219,2105,59.771689,1,253.700526,6.000000,14.000000,159.000000,1175.600000,1814.600000,2105.000000
1685331661,245,2105,54.061224,1,240.392832,5.000000,12.000000,111.500000,818.880000,1785.480000,2105.000000
1685331691,258,2105,51.596899,1,234.484036,5.000000,11.250000,101.750000,764.000000,1770.920000,2105.000000
1685331721,284,2105,47.447183,1,223.849080,5.000000,10.750000,95.750000,764.000000,1741.800000,2105.000000
1685331751,297,2105,45.548822,1,219.061909,4.000000,10.000000,95.100000,764.000000,1727.240000,2105.000000
1685331781,323,2105,42.278638,1,210.331939,4.000000,10.000000,84.400000,593.600000,1659.000000,2105.000000
1685331811,336,2105,40.797619,1,206.345922,4.000000,10.000000,69.450000,501.300000,1623.250000,2105.000000
1685331841,362,2105,38.234807,0,199.000919,4.000000,10.000000,61.700000,404.320000,1551.750000,2105.000000
1685331871,375,2105,37.101333,0,195.608116,4.000000,9.000000,60.400000,399.640000,1516.000000,2105.000000
1685331901,401,2105,35.187032,0,189.300944,4.000000,9.000000,59.700000,391.000000,1436.280000,2105.000000
1685331931,414,2105,34.243961,0,186.377136,4.000000,9.000000,57.750000,391.000000,1347.100000,2105.000000
1685331961,441,2105,32.467120,0,180.712892,4.000000,9.000000,51.400000,391.000000,1161.880000,2105.000000
1685331991,467,2105,30.922912,0,175.722782,3.000000,8.000000,46.000000,390.280000,983.520000,2105.000000
1685332021,493,2105,29.478702,0,171.130406,3.000000,8.000000,45.300000,389.240000,805.160000,2105.000000
1685332051,506,2105,28.810277,0,168.965541,3.000000,8.000000,44.300000,356.800000,764.000000,2105.000000
1685332081,532,2105,27.674812,0,164.861025,3.000000,8.000000,42.350000,237.200000,764.000000,2105.000000
1685332111,545,2105,27.165138,0,162.919375,3.000000,8.000000,42.000000,177.400000,764.000000,2105.000000
1685332141,571,2105,26.206655,0,159.230560,3.000000,8.000000,42.000000,140.080000,764.000000,2105.000000
1685332171,584,2105,25.710616,0,157.482119,3.000000,8.000000,41.500000,128.900000,764.000000,2105.000000
1685332201,610,2105,24.768852,0,154.152103,3.000000,7.250000,39.450000,112.700000,724.950000,2105.000000
1685332231,623,2105,24.359551,0,152.561460,3.000000,7.000000,38.800000,108.800000,678.800000,2105.000000
1685332261,649,2105,23.570108,0,149.525603,3.000000,7.000000,38.000000,101.000000,586.500000,2105.000000
1685332291,675,2105,22.808889,0,146.667291,3.000000,7.000000,38.000000,98.400000,494.200000,2105.000000
