t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,3,0.204334,0.000000,0.000000,0.000000,events/second
1685319780,23,0.514215,0.000000,0.000000,0.000000,events/second
1685319810,27,0.361209,0.000000,0.000000,0.000000,events/second
1685319840,35,0.334072,0.000000,0.000000,0.000000,events/second
1685319870,39,0.289350,0.000000,0.000000,0.000000,events/second
1685319900,47,0.285191,0.000000,0.000000,0.000000,events/second
1685319930,55,0.282318,0.000000,0.000000,0.000000,events/second
1685320110,30,1.321577,0.000000,0.000000,0.000000,events/second
1685320140,46,0.871756,0.000000,0.000000,0.000000,events/second
1685320170,54,0.652297,0.000000,0.000000,0.000000,events/second
1685320200,70,0.620557,0.000000,0.000000,0.000000,events/second
1685320230,78,0.546125,0.000000,0.000000,0.000000,events/second
1685320260,102,0.590163,0.000000,0.000000,0.000000,events/second
1685320290,110,0.542288,0.000000,0.000000,0.000000,events/second
1685320320,126,0.541113,0.000000,0.000000,0.000000,events/second
1685320350,134,0.509756,0.000000,0.000000,0.000000,events/second
1685320380,150,0.512144,0.000000,0.000000,0.000000,events/second
1685320410,158,0.489318,0.000000,0.000000,0.000000,events/second
1685320440,182,0.515721,0.000000,0.000000,0.000000,events/second
1685320470,190,0.496184,0.000000,0.000000,0.000000,events/second
1685320500,206,0.498877,0.000000,0.000000,0.000000,events/second
1685320530,214,0.483138,0.000000,0.000000,0.000000,events/second
1685320560,230,0.486308,0.000000,0.000000,0.000000,events/second
1685320590,246,0.489098,0.000000,0.000000,0.000000,events/second
1685320620,262,0.491572,0.000000,0.000000,0.000000,events/second
1685320650,270,0.479572,0.000000,0.000000,0.000000,events/second
1685320680,286,0.482276,0.000000,0.000000,0.000000,events/second
1685320710,294,0.471883,0.000000,0.000000,0.000000,events/second
1685320740,310,0.474692,0.000000,0.000000,0.000000,events/second
1685320770,318,0.465546,0.000000,0.000000,0.000000,events/second
1685320800,334,0.468384,0.000000,0.000000,0.000000,events/second
1685320830,342,0.460236,0.000000,0.000000,0.000000,events/second
1685320860,358,0.463067,0.000000,0.000000,0.000000,events/second
1685320890,366,0.455721,0.000000,0.000000,0.000000,events/second
1685320920,382,0.458508,0.000000,0.000000,0.000000,events/second
1685320950,398,0.461106,0.000000,0.000000,0.000000,events/second
1685320980,422,0.472478,0.000000,0.000000,0.000000,events/second
1685321010,438,0.474446,0.000000,0.000000,0.000000,events/second
1685321040,462,0.484686,0.000000,0.000000,0.000000,events/second
1685321070,470,0.478029,0.000000,0.000000,0.000000,events/second
1685321100,486,0.479663,0.000000,0.000000,0.000000,events/second
1685321130,498,0.477368,0.000000,0.000000,0.000000,events/second
1685330370,3,0.354775,0.000000,0.000000,0.000000,events/second
1685330400,3,0.077865,0.000000,0.000000,0.000000,events/second
1685330430,3,0.043764,0.000000,0.000000,0.000000,events/second
1685330460,3,0.030439,0.000000,0.000000,0.000000,events/second
1685330490,3,0.023334,0.000000,0.000000,0.000000,events/second
1685330520,3,0.018917,0.000000,0.000000,0.000000,events/second
1685330550,3,0.015907,0.000000,0.000000,0.000000,events/second
1685330580,3,0.013723,0.000000,0.000000,0.000000,events/second
1685330610,3,0.012066,0.000000,0.000000,0.000000,events/second
1685330640,3,0.010766,0.000000,0.000000,0.000000,events/second
1685330670,3,0.009719,0.000000,0.000000,0.000000,events/second
1685330700,3,0.008858,0.000000,0.000000,0.000000,events/second
1685330730,3,0.008137,0.000000,0.000000,0.000000,events/second
1685330760,3,0.007524,0.000000,0.000000,0.000000,events/second
1685330790,3,0.006998,0.000000,0.000000,0.000000,events/second
1685330820,3,0.006540,0.000000,0.000000,0.000000,events/second
1685330850,3,0.006138,0.000000,0.000000,0.000000,events/second
1685330880,3,0.005783,0.000000,0.000000,0.000000,events/second
1685330910,3,0.005467,0.000000,0.000000,0.000000,events/second
1685330940,3,0.005183,0.000000,0.000000,0.000000,events/second
1685330970,3,0.004928,0.000000,0.000000,0.000000,events/second
1685331000,3,0.004696,0.000000,0.000000,0.000000,events/second
1685331030,3,0.004485,0.000000,0.000000,0.000000,events/second
1685331060,3,0.004293,0.000000,0.000000,0.000000,events/second
1685331090,3,0.004116,0.000000,0.000000,0.000000,events/second
1685331120,3,0.003953,0.000000,0.000000,0.000000,events/second
1685331150,3,0.003803,0.000000,0.000000,0.000000,events/second
1685331180,3,0.003663,0.000000,0.000000,0.000000,events/second
1685331210,3,0.003534,0.000000,0.000000,0.000000,events/second
1685331240,3,0.003413,0.000000,0.000000,0.000000,events/second
1685331270,3,0.003301,0.000000,0.000000,0.000000,events/second
1685331301,3,0.003195,0.000000,0.000000,0.000000,events/second
1685331331,21,0.021672,0.000000,0.000000,0.000000,events/second
1685331361,27,0.027027,0.000000,0.000000,0.000000,events/second
1685331391,33,0.032070,0.000000,0.000000,0.000000,events/second
1685331421,39,0.036827,0.000000,0.000000,0.000000,events/second
1685331451,45,0.041322,0.000000,0.000000,0.000000,events/second
1685331481,51,0.045575,0.000000,0.000000,0.000000,events/second
1685331511,57,0.049607,0.000000,0.000000,0.000000,events/second
1685331541,63,0.053433,0.000000,0.000000,0.000000,events/second
1685331571,69,0.057069,0.000000,0.000000,0.000000,events/second
1685331601,75,0.060529,0.000000,0.000000,0.000000,events/second
1685331631,81,0.063826,0.000000,0.000000,0.000000,events/second
1685331661,87,0.066970,0.000000,0.000000,0.000000,events/second
1685331691,91,0.068467,0.000000,0.000000,0.000000,events/second
1685331721,99,0.072842,0.000000,0.000000,0.000000,events/second
1685331751,103,0.074147,0.000000,0.000000,0.000000,events/second
1685331781,111,0.078217,0.000000,0.000000,0.000000,events/second
1685331811,115,0.079357,0.000000,0.000000,0.000000,events/second
1685331841,123,0.083156,0.000000,0.000000,0.000000,events/second
1685331871,127,0.084152,0.000000,0.000000,0.000000,events/second
1685331901,135,0.087709,0.000000,0.000000,0.000000,events/second
1685331931,139,0.088581,0.000000,0.000000,0.000000,events/second
1685331961,149,0.093172,0.000000,0.000000,0.000000,events/second
1685331991,157,0.096367,0.000000,0.000000,0.000000,events/second
1685332021,165,0.099446,0.000000,0.000000,0.000000,events/second
1685332051,169,0.100047,0.000000,0.000000,0.000000,events/second
1685332081,177,0.102954,0.000000,0.000000,0.000000,events/second
1685332111,181,0.103474,0.000000,0.000000,0.000000,events/second
1685332141,189,0.106224,0.000000,0.000000,0.000000,events/second
1685332171,193,0.106673,0.000000,0.000000,0.000000,events/second
1685332201,201,0.109282,0.000000,0.000000,0.000000,events/second
1685332231,205,0.109668,0.000000,0.000000,0.000000,events/second
1685332261,213,0.112147,0.000000,0.000000,0.000000,events/second
1685332291,221,0.114550,0.000000,0.000000,0.000000,events/second
